age_cl,anveh_cl,ns_bg,cs_bg,franchise,anc_perm_cl,zone_bg,Formule,id
e.51-69,b.4-11,1,45,NON,e.>40,1,Maxi,123940
d.36-50,a.0-3,1,45,OUI,c.11-20,2,Maxi,132435
b.21-25,c.>=12,1,45,OUI,b.6-10,2,Medi,135082
e.51-69,a.0-3,1,45,NON,c.11-20,3,Maxi,158289
b.21-25,c.>=12,1,45,OUI,a.<=5,3,Medi,169644
e.51-69,b.4-11,1,45,NON,e.>40,4,Maxi,217685
e.51-69,a.0-3,1,46,NON,e.>40,3,Maxi,2487
e.51-69,c.>=12,1,46,OUI,e.>40,3,Maxi,33252
d.36-50,b.4-11,1,46,OUI,c.11-20,2,Mini,44006
b.21-25,b.4-11,1,46,OUI,b.6-10,1,Maxi,51255
d.36-50,c.>=12,1,46,OUI,c.11-20,3,Medi,59415
d.36-50,b.4-11,1,46,NON,e.>40,2,Maxi,65842
c.26-35,a.0-3,1,46,OUI,c.11-20,5,Maxi,86513
d.36-50,b.4-11,1,46,NON,c.11-20,3,Maxi,119629
e.51-69,b.4-11,1,46,NON,e.>40,2,Medi,139290
c.26-35,c.>=12,1,46,OUI,c.11-20,2,Medi,143483
d.36-50,b.4-11,1,46,NON,e.>40,3,Maxi,144172
e.51-69,b.4-11,1,46,OUI,e.>40,2,Maxi,178514
c.26-35,b.4-11,1,46,OUI,c.11-20,3,Maxi,180883
c.26-35,b.4-11,1,47,OUI,c.11-20,2,Maxi,27596
c.26-35,b.4-11,1,47,NON,c.11-20,1,Maxi,42719
e.51-69,c.>=12,1,47,OUI,a.<=5,3,Mini,72751
e.51-69,a.0-3,1,47,OUI,e.>40,4,Maxi,83763
c.26-35,a.0-3,1,47,NON,b.6-10,5,Maxi,87381
f.>=70,c.>=12,1,47,OUI,e.>40,3,Maxi,91620
c.26-35,c.>=12,1,47,NON,c.11-20,2,Medi,101679
d.36-50,a.0-3,1,47,NON,e.>40,3,Maxi,106935
d.36-50,a.0-3,1,47,NON,e.>40,2,Maxi,108655
d.36-50,a.0-3,1,47,NON,c.11-20,3,Maxi,129362
d.36-50,a.0-3,1,47,OUI,e.>40,2,Maxi,132132
e.51-69,b.4-11,1,47,NON,e.>40,2,Maxi,149848
d.36-50,a.0-3,1,47,OUI,e.>40,4,Maxi,156081
d.36-50,b.4-11,1,47,NON,e.>40,3,Maxi,161102
e.51-69,a.0-3,1,47,NON,e.>40,4,Maxi,167403
d.36-50,a.0-3,1,47,OUI,e.>40,4,Maxi,174102
e.51-69,c.>=12,1,47,OUI,e.>40,1,Maxi,205444
d.36-50,b.4-11,1,48,NON,e.>40,2,Maxi,18335
e.51-69,a.0-3,1,48,NON,e.>40,3,Maxi,33345
f.>=70,a.0-3,1,48,NON,e.>40,3,Maxi,42969
d.36-50,b.4-11,1,48,NON,d.21-40,2,Maxi,63381
d.36-50,b.4-11,1,48,OUI,c.11-20,1,Maxi,65251
d.36-50,b.4-11,1,48,OUI,c.11-20,1,Maxi,65251
e.51-69,a.0-3,1,48,OUI,e.>40,2,Maxi,84202
b.21-25,b.4-11,1,48,NON,a.<=5,2,Maxi,113560
e.51-69,b.4-11,1,48,OUI,e.>40,1,Medi,141383
e.51-69,b.4-11,1,48,NON,e.>40,3,Maxi,151061
c.26-35,c.>=12,1,48,OUI,c.11-20,3,Mini,167101
d.36-50,b.4-11,1,48,OUI,e.>40,3,Medi,176508
f.>=70,a.0-3,1,49,NON,e.>40,3,Maxi,8046
e.51-69,c.>=12,1,49,NON,e.>40,5,Medi,9459
c.26-35,b.4-11,1,49,OUI,c.11-20,2,Maxi,32771
e.51-69,b.4-11,1,49,NON,e.>40,4,Maxi,39003
d.36-50,b.4-11,1,49,OUI,d.21-40,5,Medi,47744
d.36-50,a.0-3,1,49,NON,e.>40,4,Maxi,63083
b.21-25,b.4-11,1,49,NON,a.<=5,1,Maxi,69249
b.21-25,b.4-11,1,49,NON,a.<=5,3,Medi,76662
e.51-69,b.4-11,1,49,NON,e.>40,1,Maxi,76985
c.26-35,b.4-11,1,49,OUI,c.11-20,2,Maxi,80584
d.36-50,a.0-3,1,49,OUI,d.21-40,3,Maxi,89048
c.26-35,c.>=12,1,49,OUI,c.11-20,3,Maxi,111172
d.36-50,b.4-11,1,49,NON,e.>40,1,Maxi,114499
e.51-69,b.4-11,1,49,NON,e.>40,4,Maxi,148136
c.26-35,c.>=12,1,49,NON,c.11-20,3,Medi,155705
c.26-35,a.0-3,1,49,OUI,c.11-20,2,Maxi,171702
f.>=70,c.>=12,1,49,NON,e.>40,2,Maxi,185143
d.36-50,a.0-3,1,49,OUI,c.11-20,5,Medi,185186
c.26-35,a.0-3,1,49,OUI,b.6-10,4,Maxi,189203
e.51-69,c.>=12,1,49,NON,e.>40,1,Medi,207502
d.36-50,c.>=12,1,49,OUI,e.>40,5,Medi,209826
e.51-69,b.4-11,1,50,NON,e.>40,1,Medi,10985
e.51-69,c.>=12,1,50,NON,e.>40,2,Medi,17238
e.51-69,b.4-11,1,50,NON,e.>40,3,Maxi,17833
f.>=70,a.0-3,1,50,NON,e.>40,3,Medi,40080
b.21-25,b.4-11,1,50,OUI,a.<=5,3,Maxi,84082
e.51-69,a.0-3,1,50,OUI,e.>40,3,Maxi,89234
e.51-69,b.4-11,1,50,NON,e.>40,5,Maxi,93486
c.26-35,b.4-11,1,50,NON,b.6-10,2,Maxi,93803
d.36-50,c.>=12,1,50,OUI,e.>40,5,Medi,94936
d.36-50,a.0-3,1,50,OUI,c.11-20,2,Maxi,95102
c.26-35,c.>=12,1,50,OUI,b.6-10,2,Medi,97335
c.26-35,c.>=12,1,50,OUI,c.11-20,1,Medi,104324
c.26-35,b.4-11,1,50,OUI,b.6-10,3,Medi,112370
e.51-69,b.4-11,1,50,OUI,e.>40,3,Maxi,117760
d.36-50,c.>=12,1,50,NON,e.>40,4,Medi,122516
c.26-35,b.4-11,1,50,OUI,c.11-20,1,Maxi,125071
c.26-35,b.4-11,1,50,OUI,c.11-20,1,Maxi,125071
f.>=70,a.0-3,1,50,OUI,e.>40,2,Maxi,129130
f.>=70,b.4-11,1,50,NON,e.>40,2,Maxi,134892
d.36-50,a.0-3,1,50,NON,c.11-20,3,Maxi,135979
e.51-69,a.0-3,1,50,OUI,e.>40,5,Maxi,137054
d.36-50,a.0-3,1,50,OUI,e.>40,3,Maxi,158834
c.26-35,b.4-11,1,50,OUI,b.6-10,3,Maxi,159353
c.26-35,b.4-11,1,50,NON,a.<=5,1,Maxi,175256
e.51-69,a.0-3,1,50,NON,e.>40,5,Maxi,178251
e.51-69,b.4-11,1,50,OUI,e.>40,3,Medi,185017
d.36-50,c.>=12,1,50,OUI,e.>40,4,Medi,187963
f.>=70,c.>=12,1,50,NON,e.>40,2,Maxi,205047
e.51-69,b.4-11,1,51,OUI,e.>40,5,Maxi,13397
c.26-35,b.4-11,1,51,NON,c.11-20,3,Maxi,25149
c.26-35,b.4-11,1,51,NON,c.11-20,5,Maxi,30621
d.36-50,b.4-11,1,51,OUI,e.>40,4,Maxi,31140
e.51-69,b.4-11,1,51,OUI,e.>40,3,Maxi,45067
d.36-50,b.4-11,1,51,NON,e.>40,3,Maxi,70637
b.21-25,b.4-11,1,51,OUI,b.6-10,2,Maxi,71525
d.36-50,b.4-11,1,51,OUI,e.>40,3,Maxi,79796
e.51-69,c.>=12,1,51,OUI,e.>40,4,Medi,113481
c.26-35,a.0-3,1,51,NON,b.6-10,1,Maxi,137531
d.36-50,a.0-3,1,51,OUI,c.11-20,2,Maxi,142237
d.36-50,c.>=12,1,51,NON,e.>40,1,Medi,160261
d.36-50,b.4-11,1,51,NON,e.>40,3,Medi,172285
c.26-35,a.0-3,1,51,OUI,c.11-20,2,Maxi,186697
d.36-50,a.0-3,1,52,NON,c.11-20,2,Maxi,1757
e.51-69,c.>=12,1,52,NON,e.>40,2,Maxi,7485
e.51-69,c.>=12,1,52,NON,e.>40,3,Medi,18598
e.51-69,c.>=12,1,52,NON,e.>40,2,Medi,20192
e.51-69,b.4-11,1,52,NON,e.>40,4,Maxi,25693
e.51-69,a.0-3,1,52,OUI,e.>40,3,Maxi,74318
c.26-35,b.4-11,1,52,NON,b.6-10,3,Maxi,87451
d.36-50,b.4-11,1,52,NON,e.>40,1,Maxi,100446
c.26-35,b.4-11,1,52,OUI,a.<=5,3,Medi,108292
d.36-50,c.>=12,1,52,OUI,e.>40,3,Medi,113662
d.36-50,b.4-11,1,52,OUI,e.>40,4,Maxi,113805
c.26-35,b.4-11,1,52,OUI,b.6-10,1,Maxi,132489
c.26-35,a.0-3,1,52,NON,a.<=5,1,Maxi,151359
d.36-50,c.>=12,1,52,NON,c.11-20,4,Medi,153507
d.36-50,c.>=12,1,52,OUI,c.11-20,3,Medi,186418
c.26-35,c.>=12,1,52.5,NON,c.11-20,1,Maxi,26556
f.>=70,c.>=12,1,53,NON,e.>40,2,Maxi,13363
e.51-69,a.0-3,1,53,NON,e.>40,3,Maxi,21407
d.36-50,a.0-3,1,53,OUI,c.11-20,3,Maxi,42377
e.51-69,b.4-11,1,53,OUI,e.>40,4,Maxi,44189
e.51-69,c.>=12,1,53,NON,e.>40,3,Medi,52394
e.51-69,a.0-3,1,53,NON,e.>40,2,Maxi,71363
b.21-25,b.4-11,1,53,OUI,b.6-10,5,Maxi,78850
b.21-25,b.4-11,1,53,OUI,a.<=5,4,Maxi,79404
c.26-35,b.4-11,1,53,OUI,b.6-10,3,Maxi,80136
e.51-69,c.>=12,1,53,OUI,c.11-20,3,Medi,85027
d.36-50,b.4-11,1,53,OUI,c.11-20,1,Maxi,101570
e.51-69,a.0-3,1,53,OUI,c.11-20,2,Maxi,131964
c.26-35,b.4-11,1,53,OUI,c.11-20,3,Medi,136654
b.21-25,b.4-11,1,53,OUI,a.<=5,3,Maxi,139277
c.26-35,b.4-11,1,53,OUI,c.11-20,3,Maxi,142213
d.36-50,b.4-11,1,53,OUI,c.11-20,3,Maxi,147557
b.21-25,b.4-11,1,53,OUI,b.6-10,2,Medi,162399
e.51-69,b.4-11,1,53,NON,e.>40,3,Maxi,171646
d.36-50,b.4-11,1,53,OUI,d.21-40,4,Medi,171701
e.51-69,b.4-11,1,54,OUI,e.>40,5,Medi,16331
b.21-25,b.4-11,1,54,NON,b.6-10,5,Medi,85884
e.51-69,b.4-11,1,54,OUI,e.>40,2,Maxi,88723
d.36-50,a.0-3,1,54,OUI,e.>40,3,Maxi,104972
c.26-35,a.0-3,1,54,NON,a.<=5,3,Maxi,188213
d.36-50,a.0-3,1,54,OUI,c.11-20,2,Maxi,197854
e.51-69,a.0-3,1,55,NON,e.>40,2,Maxi,1210
d.36-50,b.4-11,1,55,NON,e.>40,1,Maxi,14748
e.51-69,b.4-11,1,55,OUI,e.>40,4,Maxi,27268
e.51-69,b.4-11,1,55,NON,e.>40,1,Maxi,51738
e.51-69,a.0-3,1,55,NON,e.>40,1,Maxi,66252
e.51-69,c.>=12,1,55,NON,e.>40,3,Medi,73183
f.>=70,a.0-3,1,55,NON,e.>40,2,Maxi,78646
c.26-35,b.4-11,1,55,NON,c.11-20,2,Maxi,81415
e.51-69,c.>=12,1,55,NON,e.>40,2,Medi,93041
d.36-50,b.4-11,1,55,OUI,e.>40,5,Medi,106604
e.51-69,c.>=12,1,55,OUI,c.11-20,2,Maxi,107000
e.51-69,a.0-3,1,55,OUI,e.>40,4,Maxi,137758
e.51-69,c.>=12,1,55,OUI,e.>40,2,Maxi,141524
d.36-50,b.4-11,1,55,OUI,d.21-40,2,Maxi,173155
e.51-69,b.4-11,1,55,OUI,e.>40,3,Maxi,189772
d.36-50,c.>=12,1,55,NON,c.11-20,3,Maxi,213760
e.51-69,a.0-3,1,56,OUI,e.>40,4,Maxi,504
d.36-50,b.4-11,1,56,NON,e.>40,2,Maxi,1761
e.51-69,a.0-3,1,56,OUI,e.>40,3,Maxi,12141
d.36-50,a.0-3,1,56,NON,e.>40,2,Maxi,14732
d.36-50,a.0-3,1,56,NON,e.>40,4,Maxi,16114
f.>=70,b.4-11,1,56,OUI,e.>40,2,Maxi,17470
d.36-50,a.0-3,1,56,NON,d.21-40,1,Maxi,19186
d.36-50,a.0-3,1,56,NON,d.21-40,1,Maxi,19186
e.51-69,a.0-3,1,56,NON,e.>40,2,Maxi,20255
d.36-50,a.0-3,1,56,NON,c.11-20,3,Maxi,21363
e.51-69,a.0-3,1,56,NON,e.>40,4,Maxi,21559
